API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
INTL.37-12-DZA-QBTU.A,                Wind (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48307E-05,9.89521E-05,2.72971E-05,3.41214E-05,3.41214E-05,2.72971E-05,4.09457E-05,4.22581E-05,NA
INTL.38-12-DZA-QBTU.A,                Biomass and waste (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.2-3-DZA-QBTU.A,    Imports (quad Btu),0.00023884,0.000351436,0.00030708,0.000371908,0.000569804,0.000412852,0.00049474,0.00040944,0.000651692,0.000685812,0.00069946,0.00046062,0.0004265,0.0004265,0.000228604,0.00073358,0.00097242,0.001064544,0.0010236,0.0005118,0.000853,0.0005118,0.000808644,0.000760876,0.000719932,0.001224908,0.001303384,0.000951948,0.000934888,0.00112596,0.002511232,0.002241684,0.003193632,0.00100654,0.002340632,0.00208132,0.000876884,0.001832244,0.001726472,0.001811772,0.001748991,0.001293148,0.001334596,NA
INTL.2-4-DZA-QBTU.A,    Exports (quad Btu),0.000208132,0.000293432,0.000395792,0.000433324,0.000327552,0.000539096,0.000552744,0.00058004,0.000620984,0.00088712,0.001033836,0.002715952,0.003620132,0.004517488,0.004063692,0.001675292,0.001439864,0.001067956,0.000893944,0.00071652,0.001088428,0.000668752,0.000883708,0.000723344,0.000672164,0.0009383,0.0010236,0.000931476,0.001102076,0.001235144,0.002739836,0.002726188,0.00336082,0.001310208,0.002992324,0.002187092,0.001729884,0.00300256,0.002036964,0.002296276,0.001958488,0.005216948,0.005216948,NA
INTL.2-23-DZA-QBTU.A,    Net imports (quad Btu),0.000030708,0.000058004,-0.000088712,-0.000061416,0.000242252,-0.000126244,-0.000058004,-0.0001706,0.000030708,-0.000201308,-0.000334376,-0.002255332,-0.003193632,-0.004090988,-0.003835088,-0.000941712,-0.000467444,-0.000003412,0.000129656,-0.00020472,-0.000235428,-0.000156952,-0.000075064,0.000037532,0.000047768,0.000286608,0.000279784,0.000020472,-0.000167188,-0.000109184,-0.000228604,-0.000484504,-0.000167188,-0.000303668,-0.000651692,-0.000105772,-0.000853,-0.001170316,-0.000310492,-0.000484504,-0.000209497,-0.0039238,-0.003882352,NA
,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.27-12-ASM-QBTU.A,        Nuclear (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.29-12-ASM-QBTU.A,        Renewables (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07093E-06,6.82428E-06,6.82428E-06,6.82428E-06,1.02364E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.72216E-05,NA
INTL.33-12-ASM-QBTU.A,            Hydroelectricity (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.34-12-ASM-QBTU.A,            Non-hydroelectric renewables (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07093E-06,6.82428E-06,6.82428E-06,6.82428E-06,1.02364E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.72216E-05,NA
INTL.35-12-ASM-QBTU.A,                Geothermal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.36-12-ASM-QBTU.A,"                Solar, tide, wave, fuel cell (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07093E-06,6.82428E-06,6.82428E-06,6.82428E-06,1.02364E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.72216E-05,NA
INTL.117-12-ASM-QBTU.A,                    Tide and wave (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.116-12-ASM-QBTU.A,                    Solar (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07093E-06,6.82428E-06,6.82428E-06,6.82428E-06,1.02364E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.70607E-05,1.72216E-05,NA
